Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
61,Georgetown,Big East (Big East 7),16,15,71.7,66.2,5.52,5.99,2.62,6.12,8.75,1998
62,Nebraska,Big 12,20,12,71.6,68.5,3.06,5.65,3.41,5.3,8.72,1998
63,Iona,MAAC,27,6,80.4,69.5,10.82,-2.08,7.41,1.14,8.55,1998
64,Pacific,Big West (West),23,10,73.1,63.2,9.85,-0.55,0.88,7.63,8.51,1998
65,California,Pac-10,12,15,70.3,69.5,0.85,7.95,0.49,7.85,8.33,1998
66,Memphis,CUSA (National),17,12,74.2,71.7,2.48,5.56,6.92,1.12,8.04,1998
67,Arizona State,Pac-10,18,14,84.5,84,0.47,7.98,15.34,-7.42,7.92,1998
68,Louisville,CUSA (American),12,20,70.8,72,-1.13,9.03,4.6,3.3,7.9,1998
69,San Francisco,WCC,19,11,73.2,66.3,6.93,1.31,3.12,4.67,7.8,1998
70,Mississippi State,SEC (West),15,15,71,68.4,2.6,5.12,2.62,5.13,7.75,1998
71,Alabama,SEC (West),15,16,69.9,69,0.94,6.47,0.68,7.06,7.74,1998
72,South Alabama,Sun Belt,21,7,65,54.5,10.5,-2.93,-7.78,15.35,7.57,1998
73,Ball State,MAC (West),21,8,78.4,69.1,9.28,0.68,6.66,0.8,7.46,1998
74,Missouri State,MVC,16,16,74,70.2,3.81,3.64,5.16,2.3,7.46,1998
75,Auburn,SEC (West),16,14,68.9,67.3,1.63,5.94,1.06,6.38,7.44,1998
76,Nevada-Las Vegas,WAC (Mountain),20,13,69.5,66.6,2.88,5.34,1.47,5.97,7.43,1998
77,Wisconsin,Big Ten,12,19,60.5,62.6,-2.03,9.22,-4.82,12,7.19,1998
78,Providence,Big East (Big East 7),13,16,65.4,66.1,-0.69,7.77,-1.73,8.81,7.08,1998
79,UAB,CUSA (National),21,12,75.2,72.2,3.06,4.66,6.57,0.31,6.88,1998
80,Murray State,OVC,29,4,86.7,70.7,16,-6.35,10.98,-4.15,6.82,1998
81,Missouri,Big 12,17,15,71.3,71.8,-0.59,7.41,3.12,3.7,6.81,1998
82,Villanova,Big East (Big East 6),12,17,69.8,72.1,-2.31,9.06,3.45,3.3,6.75,1998
83,Eastern Michigan,MAC (West),20,10,79.8,75.5,4.27,2.67,10.37,-3.67,6.7,1998
84,Utah State,Big West (East),25,8,72,64.8,7.12,1.44,-1.08,7.62,6.54,1998
85,Northern Arizona,Big Sky,21,8,80.2,67.4,12.83,-5.14,2.97,3.53,6.5,1998
86,Tulsa,WAC (Pacific),19,12,68.2,64.9,3.26,3.18,-2.5,8.91,6.41,1998
87,Richmond,CAA,23,8,70,61.9,8.03,-1.7,1.04,5.3,6.34,1998
88,Colorado State,WAC (Mountain),20,9,68.9,62.1,6.79,1.68,-1.41,7.69,6.28,1998
89,Creighton,MVC,18,10,75,69.9,5.07,1.21,6.17,0.11,6.28,1998
90,Seton Hall,Big East (Big East 7),15,15,67.6,68.7,-1.1,7.73,1.04,5.2,6.24,1998
91,Virginia,ACC,11,19,65.7,70,-4.3,10.33,0.27,5.76,6.03,1998
92,Oregon,Pac-10,13,14,68.9,70.1,-1.26,7.19,-1.4,7.36,5.96,1998
93,Southern Methodist,WAC (Pacific),18,10,76.5,70.3,6.21,0.63,4.84,0.98,5.82,1998
94,Akron,MAC (East),17,10,75.3,67.6,7.74,-0.66,2.7,2.87,5.57,1998
95,Santa Clara,WCC,18,10,73.2,68,5.25,2.26,2.81,2.74,5.55,1998
96,Notre Dame,Big East (Big East 6),13,14,70.2,71,-0.74,6.28,3.44,2.11,5.54,1998
97,Wyoming,WAC (Mountain),19,9,63.8,59.1,4.64,1.57,-5.78,11.31,5.53,1998
98,Boston College,Big East (Big East 6),15,16,69.9,70.9,-1,6.47,2.83,2.31,5.14,1998
99,Washington State,Pac-10,10,19,71.8,72,-0.17,7.79,0.68,4.31,4.98,1998
100,Butler,MW Coll,22,11,67.5,62.2,5.33,2.77,-2.38,7.25,4.87,1998
101,Pepperdine,WCC,17,10,69.8,65.9,3.93,0.81,-1.2,5.94,4.74,1998
102,Oregon State,Pac-10,13,17,70.7,69.8,0.93,6.18,-1.65,6.37,4.72,1998
103,Toledo,MAC (West),15,12,70.6,64.8,5.78,0.2,-1.69,6.24,4.55,1998
104,Texas,Big 12,14,17,79.5,81.4,-1.94,6.47,11.15,-6.61,4.53,1998
105,College of Charleston,TAAC (East),24,6,70.1,55.4,14.67,-9.03,-6.69,11.13,4.44,1998
106,Bradley,MVC,15,14,64.6,61.1,3.45,2.12,-5.24,9.47,4.23,1998
107,St. Bonaventure,A-10 (East),17,15,65.8,65.1,0.69,3.42,-3.75,7.86,4.11,1998
108,Texas Tech,Big 12,13,14,77.3,78.6,-1.3,5.37,7.1,-3.03,4.07,1998
109,Green Bay,MW Coll,17,12,64.4,59.9,4.52,-0.57,-5.84,9.77,3.93,1998
